epoch,train_mse,val_mse,sample_psnr,sample_ssim
1,0.13694377309377564,0.1263138983142562,25.239572372049203,0.9655679166316986
2,0.1361182073921211,0.13607085452531464,22.411093531258956,0.9594641625881195
3,0.1354422048932045,0.13017428149614715,25.967415253752474,0.9644719362258911
4,0.13406128605436404,0.139612933290191,26.065770927145223,0.970339834690094
5,0.1324291615470429,0.13497570003964937,22.491750755426274,0.9498685300350189
6,0.1315319362428919,0.13979091203887947,26.8039166546286,0.9697667956352234
7,0.1332070471314364,0.1270516366499942,26.333546983097825,0.9704903662204742
8,0.13439929895730326,0.12344460290041752,26.57713572909269,0.9625385701656342
9,0.1319526545177602,0.14405468916200334,21.93234669011557,0.9488494396209717
10,0.13371844973508915,0.12903034119924997,25.289312544156225,0.9701375365257263
